Number;Age;Language;CulturalProfile;Gender;Province;Income;Favoured_Product;JoinYear;Overdue;CurrentMOP;ClusterGroup
6109;31;English;2;Male;EC;;Product3;2008;1;Cash;6
6139;31;English;2;Female;EC;H;Product3;2011;1;Cash;2
6141;31;English;2;Male;EC;C;Product3;2010;0;Debit;5
6185;31;English;2;Female;EC;I;Product3;2011;1;Cash;2
6201;31;Afrikaans;3;Male;EC;F;Product10;2005;0;Cash;1
6208;31;English;3;Female;EC;C;Product1;2006;1;Cash;4
6221;31;English;3;Female;EC;C;Product3;2010;1;Cash;2
6224;31;English;3;Female;EC;I;Product3;2012;0;Cash;2
6229;31;English;3;Male;EC;E;Product1;2012;0;Debit;4
6242;31;English;3;Female;EC;H;Product3;2010;1;Cash;2
6245;31;English;2;Female;EC;;Product5;2013;0;Cash;6
6254;31;English;3;Female;EC;H;Product3;2012;0;Cash;2
6263;31;English;2;Male;EC;C;Product1;2008;0;Debit;5
6289;31;English;2;Male;EC;H;Product3;2012;1;Cash;2
6308;31;English;2;Female;EC;H;Product3;2012;0;Cash;2
6313;31;English;3;Male;EC;;Product3;2011;1;Cash;6
6344;31;English;3;Female;EC;I;Product6;2012;0;Cash;2
6389;31;English;2;Male;EC;G;Product3;2012;0;Cash;2
6395;31;English;3;Male;EC;G;Product3;2011;1;Cash;2
6427;31;Afrikaans;3;Male;EC;G;Product1;2010;0;Debit;1
6431;31;English;3;Male;EC;A;Product3;2007;1;Cash;6
6461;31;English;2;Female;EC;I;Product3;2012;1;Cash;2
6464;31;English;3;Male;EC;C;Product1;2005;1;Cash;4
6471;31;English;2;Male;EC;G;Product3;2008;0;Cash;2
6487;31;English;2;Female;EC;;Product3;2005;1;Cash;6
6488;31;English;3;Female;EC;H;Product1;2012;1;Cash;4
6503;31;English;3;Male;EC;C;Product1;2008;0;Debit;4
6508;31;English;3;Male;EC;E;Product3;2010;1;Cash;2
6509;31;English;3;Male;EC;A;Product1;2008;0;Debit;4
6526;31;English;2;Male;EC;E;Product6;2012;1;Cash;6
6540;31;English;3;Male;EC;G;Product3;2012;1;Cash;2
